Account,Category,Amount
One,薪資,4159381.0
One,轉入自 鎂薪,2321669.29
One,補給,1597601.39
One,轉入自 借錢,1391000.0
One,轉入自 虛幣,410903.0
One,轉入自 台股,221989.0
One,轉入自 美股,179089.0
One,轉入自 美幣,96368.0
One,轉入自 Two,35000.0
One,賭博,395.0
One,轉出至 印鈔,-7165.0
One,轉出至 日円,-11964.0
One,機啪,-15018.0
One,機暖,-18695.0
One,借過,-23800.0
One,頭暈,-24313.0
One,公司,-29075.7
One,屋伯,-30861.6
One,轉出至 鎂薪,-31658.0
One,玩玩,-39841.0
One,機車,-39998.0
One,汽啪,-41501.0
One,機維,-41521.0
One,講話,-55682.0
One,苦口,-56479.0
One,霧狀,-74818.84
One,一起,-80663.9
One,汽車,-87580.0
One,豆漿,-98023.05
One,轉出至 台股,-142514.0
One,汽暖,-148449.0
One,有益,-150472.69
One,保險,-218404.0
One,寶包,-230975.0
One,轉出至 虛幣,-243374.0
One,帳單,-279984.66
One,遮羞,-306414.0
One,孝親,-351670.75
One,熊仔,-408940.15
One,睡覺,-412000.0
One,五金,-415406.46
One,該死,-454235.71
One,轉出至 借錢,-923508.0
One,增肥,-1093351.8
One,轉出至 婚禮,-1121206.0
One,轉出至 Two,-1228411.36
One,轉出至 美幣,-1304363.0
Two,轉入自 One,1228411.36
Two,補給,921783.0
Two,賭博,30.0
Two,機啪,-90.0
Two,豆漿,-254.0
Two,寶包,-400.0
Two,有益,-720.0
Two,保險,-857.0
Two,金莎,-1000.0
Two,孝親,-3820.0
Two,帳單,-4127.0
Two,頭暈,-4945.0
Two,借過,-5200.0
Two,遮羞,-6321.0
Two,一起,-7394.0
Two,講話,-10920.0
Two,屋伯,-14898.0
Two,苦口,-18432.0
Two,熊仔,-18720.0
Two,轉出至 印鈔,-24014.0
Two,汽啪,-30142.0
Two,轉出至 One,-35000.0
Two,溜扣,-42439.0
Two,汽暖,-50217.0
Two,該死,-282899.03
Two,五金,-295625.0
Two,睡覺,-514722.0
Two,增肥,-756573.33
Two,汽車,-998213.0
借錢,轉入自 One,923508.0
借錢,帳單,-128467.0
借錢,轉出至 One,-1391000.0
印鈔,轉入自 Two,11843366.59
印鈔,轉入自 美幣,4434000.0
印鈔,轉入自 One,3537091.72
印鈔,機啪,-20000.0
印鈔,寶包,-70000.0
印鈔,汽暖,-170000.0
印鈔,汽啪,-250000.0
印鈔,五金,-515000.0
印鈔,頭暈,-2573920.0
印鈔,霧狀,-2800000.0
印鈔,講話,-5000000.0
印鈔,屋伯,-16600000.0
印鈔,增肥,-83487640.0
印鈔,該死,-86637400.0
台股,轉入自 One,142514.0
台股,賭博,97528.0
台股,轉出至 One,-221989.0
婚禮,轉入自 One,1121206.0
婚禮,補給,347593.0
婚禮,溜扣,-587406.0
婚禮,金莎,-881393.0
寶包,苦口,-1940.0
日円,補給,773500.05
日円,薪資,737420.0
日円,轉入自 One,55000.0
日円,霧狀,-6600.0
日円,遮羞,-33770.0
日円,五金,-72000.0
日円,寶包,-72230.0
日円,熊仔,-75480.0
日円,帳單,-94440.0
日円,一起,-99100.0
日円,轉出至 馬幣,-100000.0
日円,該死,-116200.0
日円,溜扣,-184000.0
日円,增肥,-947640.0
美幣,轉入自 One,45613.83
美幣,轉入自 美股,3318.0
美幣,補給,2034.0
美幣,一起,-1.75
美幣,溜扣,-50.0
美幣,熊仔,-50.0
美幣,轉出至 韓元,-150.0
美幣,帳單,-235.85
美幣,轉出至 印鈔,-300.0
美幣,轉出至 魯幣,-300.0
美幣,轉出至 One,-3290.4
美幣,轉出至 美股,-45994.98
美股,賭博,56428.02
美股,轉入自 美幣,45994.98
美股,轉出至 美幣,-3318.0
美股,轉出至 One,-5706.0
虛幣,轉入自 One,243374.0
虛幣,薪資,112630.76
虛幣,賭博,55863.24
虛幣,帳單,-965.0
虛幣,轉出至 One,-410903.0
鎂薪,薪資,69055.8
鎂薪,補給,4100.0
鎂薪,轉入自 One,1014.54
鎂薪,有益,-1000.0
鎂薪,轉出至 One,-73170.34
韓元,轉入自 美幣,203500.0
韓元,帳單,-90000.0
韓元,屋伯,-100000.0
韓元,一起,-203000.0
韓元,五金,-1340000.0
馬幣,轉入自 日円,3000.0
魯幣,轉入自 美幣,1107.4
魯幣,豆漿,-50.0
魯幣,溜扣,-11024.0
