transaction_datetime,category,account,amount,currency,note
2015-12-31 00:00:00,帳單,One,-10896.01,TWD,年度結算 - 調帳
2016-06-10 13:49:12,增肥,One,-99.00,TWD,Subway
2016-06-10 19:34:45,增肥,One,-220.00,TWD,唐忠駿啤酒
2016-06-10 19:34:45,增肥,One,-350.00,TWD,晚餐漢堡
2016-06-11 19:12:01,增肥,One,-25.00,TWD,綠豆椰果
2016-06-11 19:12:01,增肥,One,-100.00,TWD,白砂糖*5
2016-06-12 16:10:57,增肥,One,-99.00,TWD,
2016-06-13 10:23:33,帳單,One,-2364.00,TWD,所得稅
2016-06-13 10:56:38,帳單,One,-250.00,TWD,自然人憑證
2016-06-13 15:37:28,增肥,One,-220.00,TWD,豬腳大王
2016-06-13 19:00:50,增肥,One,-50.00,TWD,Come buy
2016-06-13 20:19:17,增肥,One,-135.00,TWD,晚餐
2016-06-13 20:19:31,增肥,One,-50.00,TWD,挫冰
2016-06-14 09:47:37,增肥,One,-131.00,TWD,早餐
2016-06-14 17:38:47,增肥,One,-75.00,TWD,
2016-06-15 20:24:20,增肥,One,-120.00,TWD,
2016-06-16 10:34:48,增肥,One,-100.00,TWD,早餐
2016-06-16 16:31:19,增肥,One,-50.00,TWD,
2016-06-16 23:48:02,增肥,One,-50.00,TWD,挫冰
2016-06-16 23:48:14,增肥,One,-96.00,TWD,啤酒
2016-06-17 08:33:08,增肥,One,-69.00,TWD,早餐
2016-06-17 21:31:33,增肥,One,-50.00,TWD,中餐
2016-06-18 00:13:31,增肥,One,-350.00,TWD,晚餐
2016-06-18 13:02:24,增肥,One,-236.00,TWD,中餐
2016-06-18 19:49:29,增肥,One,-50.00,TWD,Come buy
2016-06-18 19:49:53,增肥,One,-99.00,TWD,Subway
2016-06-19 19:55:26,增肥,One,-99.00,TWD,Subway
2016-06-19 19:55:38,增肥,One,-100.00,TWD,白砂糖*5
2016-06-20 22:10:11,增肥,One,-99.00,TWD,Subway
2016-06-20 23:01:28,增肥,One,-45.00,TWD,鹹酥雞
2016-06-21 16:46:52,增肥,One,-99.00,TWD,Subway
2016-06-21 16:47:07,增肥,One,-100.00,TWD,牛肉麵
2016-06-22 10:29:43,增肥,One,-131.00,TWD,麥噹噹
2016-06-22 20:57:15,增肥,One,-99.00,TWD,Subway
2016-06-23 09:46:04,增肥,One,-58.00,TWD,早餐
